#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
MIRI_F1500W,3.27,9.03,16.23,-28.31,-22.54,-15.35,5.763,12.961,15.0651,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F1800W,3.27,9.42,17.00,-28.30,-22.15,-14.57,6.149,13.732,17.9865,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F2100W,3.27,9.73,17.62,-28.30,-21.85,-13.95,6.453,14.351,20.7950,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F2550W,3.28,10.16,18.49,-28.30,-21.41,-13.08,6.887,15.216,25.3639,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
NIRISS_F090W,4.02,4.50,5.59,-27.56,-27.07,-25.98,0.488,1.575,0.9031,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F115W,3.78,4.53,6.14,-27.79,-27.05,-25.43,0.747,2.358,1.1499,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F140M,3.48,4.56,6.60,-28.09,-27.02,-24.97,1.078,3.123,1.4044,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F150W,3.41,4.59,6.77,-28.16,-26.98,-24.81,1.173,3.352,1.4936,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F158M,3.35,4.62,6.93,-28.23,-26.95,-24.64,1.277,3.582,1.5825,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F200W,3.28,4.93,7.74,-28.29,-26.64,-23.83,1.656,4.461,1.9930,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F277W,3.27,5.53,9.04,-28.30,-26.05,-22.53,2.258,5.774,2.7641,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F356W,3.26,6.03,10.12,-28.31,-25.54,-21.46,2.769,6.854,3.5926,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F380M,3.26,6.17,10.39,-28.31,-25.40,-21.18,2.908,7.128,3.8229,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F430M,3.27,6.40,10.87,-28.30,-25.17,-20.70,3.130,7.595,4.2792,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F444W,3.28,6.47,11.01,-28.30,-25.11,-20.57,3.191,7.729,4.4270,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
NIRISS_F480M,3.29,6.66,11.38,-28.28,-24.91,-20.19,3.366,8.086,4.8113,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Filters
ROMAN_F062,4.54,4.66,4.96,-27.03,-26.91,-26.61,0.122,0.423,0.6291,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F087,4.04,4.51,5.51,-27.53,-27.07,-26.06,0.462,1.467,0.8696,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F106,3.89,4.51,5.94,-27.68,-27.06,-25.63,0.624,2.052,1.0567,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F129,3.62,4.54,6.40,-27.96,-27.03,-25.17,0.928,2.789,1.2901,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F158,3.37,4.62,6.92,-28.21,-26.95,-24.65,1.258,3.552,1.5749,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F146,3.61,4.60,6.70,-27.96,-26.97,-24.87,0.993,3.090,1.4378,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F184,3.28,4.81,7.44,-28.29,-26.76,-24.13,1.522,4.154,1.8394,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
ROMAN_F213,3.27,5.05,7.99,-28.30,-26.52,-23.58,1.776,4.719,2.1230,https://roman.gsfc.nasa.gov/science/RRI/Roman_effarea_20210614.xlsx
OMEGACAM_u,5.46,6.34,5.43,-26.11,-25.23,-26.15,0.881,-0.035,0.3590,http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=OMEGACAM+INS.MODE=imaging
OMEGACAM_g,5.21,5.09,4.77,-26.36,-26.48,-26.80,-0.126,-0.442,0.4735,http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=OMEGACAM+INS.MODE=imaging
OMEGACAM_r,4.50,4.63,4.93,-27.07,-26.94,-26.64,0.133,0.429,0.6276,http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=OMEGACAM+INS.MODE=imaging
OMEGACAM_i,4.20,4.53,5.21,-27.38,-27.05,-26.36,0.331,1.013,0.7495,http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=OMEGACAM+INS.MODE=imaging
OMEGACAM_z,4.01,4.51,5.55,-27.56,-27.07,-26.03,0.493,1.534,0.8842,http://www.eso.org/observing/etc/bin/gen/form?INS.NAME=OMEGACAM+INS.MODE=imaging
VIRCAM_Z,4.02,4.51,5.56,-27.56,-27.07,-26.01,0.491,1.546,0.8899,http://www.eso.org/sci/facilities/paranal/instruments/vircam/inst.html
VIRCAM_Y,3.93,4.51,5.87,-27.64,-27.07,-25.70,0.577,1.940,1.0253,http://www.eso.org/sci/facilities/paranal/instruments/vircam/inst.html
VIRCAM_J,3.65,4.54,6.34,-27.93,-27.03,-25.23,0.892,2.691,1.2535,http://www.eso.org/sci/facilities/paranal/instruments/vircam/inst.html
VIRCAM_H,3.32,4.66,7.05,-28.25,-26.91,-24.53,1.335,3.721,1.6430,http://www.eso.org/sci/facilities/paranal/instruments/vircam/inst.html
VIRCAM_Ks,3.28,5.07,8.04,-28.30,-26.50,-23.53,1.797,4.767,2.1494,http://www.eso.org/sci/facilities/paranal/instruments/vircam/inst.html
ISAAC_Ks,3.27,5.08,8.06,-28.30,-26.49,-23.51,1.809,4.792,2.1620,https:/www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/filters/
HAWKI_Y,3.93,4.51,5.86,-27.64,-27.07,-25.71,0.573,1.931,1.0233,https://eso.org/sci/facilities/paranal/instruments/hawki/inst/filters/
HAWKI_J,3.64,4.54,6.35,-27.93,-27.03,-25.23,0.901,2.707,1.2575,https://eso.org/sci/facilities/paranal/instruments/hawki/inst/filters/
HAWKI_H,3.33,4.64,7.00,-28.24,-26.93,-24.57,1.312,3.666,1.6184,https://eso.org/sci/facilities/paranal/instruments/hawki/inst/filters/
HAWKI_Ks,3.27,5.07,8.04,-28.30,-26.50,-23.54,1.796,4.762,2.1461,https://eso.org/sci/facilities/paranal/instruments/hawki/inst/filters/
SkyMapper_u,5.33,6.32,5.40,-26.24,-25.25,-26.17,0.989,0.073,0.3590,https://doi.org/10.1086/660849
SkyMapper_v,5.81,6.09,5.31,-25.77,-25.49,-26.26,0.280,-0.493,0.3836,https://doi.org/10.1086/660849
SkyMapper_g,5.03,4.94,4.78,-26.55,-26.63,-26.79,-0.082,-0.247,0.5075,https://doi.org/10.1086/660849
SkyMapper_r,4.56,4.66,4.91,-27.02,-26.91,-26.66,0.104,0.352,0.6138,https://doi.org/10.1086/660849
SkyMapper_i,4.14,4.52,5.28,-27.43,-27.05,-26.29,0.377,1.137,0.7768,https://doi.org/10.1086/660849
SkyMapper_z,4.00,4.50,5.62,-27.57,-27.07,-25.95,0.502,1.615,0.9143,https://doi.org/10.1086/660849
MMIRS_Y,3.93,4.50,5.86,-27.64,-27.07,-25.71,0.574,1.926,1.0207,McLeod2019-private-communication</td></tr>
MMIRS_J,3.65,4.54,6.33,-27.92,-27.03,-25.24,0.891,2.684,1.2504,McLeod2019-private-communication</td></tr>
MMIRS_H,3.32,4.66,7.04,-28.25,-26.91,-24.53,1.333,3.716,1.6402,McLeod2019-private-communication</td></tr>
MMIRS_K,3.27,5.08,8.05,-28.30,-26.50,-23.52,1.802,4.775,2.1524,McLeod2019-private-communication</td></tr>
MMIRS_Kspec,3.77,4.93,7.65,-27.80,-26.64,-23.93,1.164,3.877,1.9099,McLeod2019-private-communication</td></tr>
S-PLUS_uJAVA,5.32,6.39,5.44,-26.25,-25.18,-26.13,1.065,0.117,0.3538,https://github.com/splus-survey/filter_curves
S-PLUS_F378,5.64,6.19,5.38,-25.93,-25.39,-26.19,0.546,-0.262,0.3773,https://github.com/splus-survey/filter_curves
S-PLUS_F395,6.07,6.06,5.35,-25.50,-25.51,-26.23,-0.008,-0.722,0.3941,https://github.com/splus-survey/filter_curves
S-PLUS_fF410,5.69,5.51,4.88,-25.88,-26.06,-26.69,-0.183,-0.814,0.4095,https://github.com/splus-survey/filter_curves
S-PLUS_fF430,5.59,5.43,4.90,-25.99,-26.14,-26.67,-0.157,-0.685,0.4292,https://github.com/splus-survey/filter_curves
S-PLUS_gSDSS,5.20,5.08,4.78,-26.37,-26.49,-26.79,-0.118,-0.419,0.4768,https://github.com/splus-survey/filter_curves
S-PLUS_F515,5.02,4.93,4.79,-26.56,-26.64,-26.78,-0.085,-0.225,0.5133,https://github.com/splus-survey/filter_curves
S-PLUS_rSDSS,4.51,4.64,4.93,-27.06,-26.93,-26.65,0.129,0.419,0.6257,https://github.com/splus-survey/filter_curves
S-PLUS_F660,4.33,4.61,5.02,-27.24,-26.96,-26.55,0.280,0.691,0.6614,https://github.com/splus-survey/filter_curves
S-PLUS_iSDSS,4.16,4.52,5.25,-27.41,-27.05,-26.32,0.360,1.094,0.7674,https://github.com/splus-survey/filter_curves
S-PLUS_F861,4.01,4.51,5.50,-27.56,-27.06,-26.08,0.506,1.489,0.8608,https://github.com/splus-survey/filter_curves
S-PLUS_zSDSS,4.01,4.50,5.57,-27.56,-27.07,-26.00,0.492,1.555,0.8937,https://github.com/splus-survey/filter_curves
gaia_edr3_G,4.67,4.78,5.05,-26.90,-26.79,-26.52,0.105,0.381,0.6218,https://www.cosmos.esa.int/documents/29201/4226701/GaiaEDR3_passbands_zeropoints.zip
gaia_edr3_Bp,5.00,5.00,4.85,-26.57,-26.57,-26.72,0.005,-0.145,0.5110,https://www.cosmos.esa.int/documents/29201/4226701/GaiaEDR3_passbands_zeropoints.zip
gaia_edr3_Rp,4.18,4.53,5.29,-27.39,-27.04,-26.28,0.350,1.109,0.7769,https://www.cosmos.esa.int/documents/29201/4226701/GaiaEDR3_passbands_zeropoints.zip
NIRI_J,3.65,4.54,6.35,-27.93,-27.03,-25.22,0.895,2.707,1.2612,http://www.gemini.edu/sciops/instruments/niri/filters/
NIRI_H,3.32,4.66,7.06,-28.25,-26.91,-24.51,1.339,3.735,1.6502,http://www.gemini.edu/sciops/instruments/niri/filters/
NIRI_Ks,3.27,5.09,8.07,-28.30,-26.48,-23.50,1.814,4.801,2.1664,http://www.gemini.edu/sciops/instruments/niri/filters/
NIRI_Kprime,3.27,5.05,7.99,-28.30,-26.52,-23.58,1.774,4.717,2.1232,http://www.gemini.edu/sciops/instruments/niri/filters/
NIRI_Lprime,3.26,6.14,10.33,-28.31,-25.43,-21.24,2.880,7.070,3.7703,http://www.gemini.edu/sciops/instruments/niri/filters/
NIRI_Mprime,3.29,6.62,11.27,-28.28,-24.95,-20.30,3.327,7.982,4.6705,http://www.gemini.edu/sciops/instruments/niri/filters/
