#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
CFHT_12kx8k_I,4.10,4.51,5.38,-27.47,-27.06,-26.19,0.415,1.282,0.8159,NickKaiser2002-private-communication</td></tr>
UKIRT_z,4.02,4.51,5.54,-27.56,-27.07,-26.03,0.489,1.526,0.8826,https://doi.org/10.1111/j.1365-2966.2005.09969.x
UKIRT_Y,3.92,4.51,5.88,-27.66,-27.07,-25.69,0.591,1.966,1.0315,https://doi.org/10.1111/j.1365-2966.2005.09969.x
UKIRT_J,3.65,4.54,6.33,-27.92,-27.03,-25.24,0.891,2.684,1.2502,https://doi.org/10.1111/j.1365-2966.2005.09969.x
UKIRT_H,3.33,4.66,7.03,-28.25,-26.92,-24.54,1.329,3.705,1.6360,https://doi.org/10.1111/j.1365-2966.2005.09969.x
UKIRT_K,3.27,5.12,8.15,-28.30,-26.45,-23.43,1.848,4.874,2.2060,https://doi.org/10.1111/j.1365-2966.2005.09969.x
LSST_u,5.65,6.27,5.40,-25.93,-25.30,-26.17,0.627,-0.244,0.3665,https://github.com/lsst/throughputs/tree/master/baseline
LSST_g,5.17,5.06,4.77,-26.40,-26.52,-26.80,-0.116,-0.399,0.4808,https://github.com/lsst/throughputs/tree/master/baseline
LSST_r,4.52,4.64,4.92,-27.05,-26.93,-26.66,0.121,0.395,0.6210,https://github.com/lsst/throughputs/tree/master/baseline
LSST_i,4.18,4.52,5.22,-27.39,-27.05,-26.35,0.340,1.034,0.7537,https://github.com/lsst/throughputs/tree/master/baseline
LSST_z,4.02,4.51,5.51,-27.55,-27.07,-26.06,0.484,1.486,0.8686,https://github.com/lsst/throughputs/tree/master/baseline
LSST_y,3.98,4.50,5.74,-27.59,-27.07,-25.83,0.520,1.763,0.9705,https://github.com/lsst/throughputs/tree/master/baseline
Bessell_Murphy_U,5.57,6.34,5.43,-26.00,-25.23,-26.14,0.768,-0.144,0.3597,https://doi.org/10.1086/664083
Bessell_Murphy_B,5.46,5.33,4.84,-26.11,-26.24,-26.73,-0.134,-0.620,0.4378,https://doi.org/10.1086/664083
